Código;Nombre;Dirección;C.P.;Municipio;Pedanía;Teléfono;Fax;Email;URL Real;URL Corta;Latitud;Longitud;Descripción;Tipo;Subtipo;Foto 1;Foto 2;Foto 3;Foto 4;Foto 5;Foto 6;Foto 7;Foto 8;Foto 9;Foto 10;Foto 11;Foto 12;Foto 13;Foto 14;Foto 15;Foto 16;Foto 17;Foto 18;Foto 19;Foto 20
8748;Academia General del Aire;C/ Maestre;;San Javier;SANTIAGO DE LA RIBERA; 968189000;;;https://ejercitodelaire.defensa.gob.es/EA/ejercitodelaire/es/organizacion/unidades/unidad/Academia-General-del-Aire-AGA/;;-0.806366;37.793100;<div><p>Centro de ense&ntilde,anza del Ej&eacute,rcito del Aire espa&ntilde,ol, y sede de la famosa Patrulla &Aacute,guila. La Academia suele celebrar una jornada de puertas abiertas en primavera, donde da a conocer a los visitantes los lugares m&aacute,s emblem&aacute,ticos de las instalaciones, como su avenida principal, la exposici&oacute,n de aviones est&aacute,ticos, el monumento a los ca&iacute,dos, la plaza de armas y el museo.</p><p>Uno de los d&iacute,as grandes, y en los que se pueden observar las acrobacias de la Patrulla en acci&oacute,n, es el 25 de julio d&iacute,a del patr&oacute,n de Santiago de la Ribera, as&iacute, como durante la jornada de nombramiento de los nuevos oficiales que tiene lugar cada a&ntilde,o durante el mismo mes de julio.</p><p><strong>Fecha de creaci&oacute,n : </strong> 1926</p><p>&nbsp,</p><p>En su primera etapa el aer&oacute,dromo de San Javier fue base aeronaval, alojando entre otras unidades varias escuelas de la Aeron&aacute,utica Naval, por lo que desde sus or&iacute,genes, ha estado ligada esta instalaci&oacute,n a la ense&ntilde,anza aeron&aacute,utica. La Aeron&aacute,utica Naval tambi&eacute,n construy&oacute, la mayor&iacute,a de los hangares y edificios de la Base de San Javier, d&aacute,ndole su fisonom&iacute,a actual, que apenas ha variado a lo largo del tiempo.</p><p>Durante la guerra civil espa&ntilde,ola de 1936/39, la Base Aeronaval de San Javier pas&oacute, a formar parte de las Fuerzas A&eacute,reas de la Rep&uacute,blica Espa&ntilde,ola y dada su situaci&oacute,n en retaguardia e instalaciones, fue dedicada a la ense&ntilde,anza de vuelo, constituyendo junto al cercano aer&oacute,dromo de Los Alc&aacute,zares uno de los principales n&uacute,cleos de la aviaci&oacute,n republicana.</p><p>Al finalizar la guerra civil, la Base de San Javier pas&oacute, a formar parte del reci&eacute,n creado Ej&eacute,rcito del Aire. En esta nueva etapa, de nuevo fue su misi&oacute,n principal la ense&ntilde,anza de vuelo, cre&aacute,ndose la Escuela Premilitar A&eacute,rea, la cual formaba a los pilotos de complemento, siendo la primera promoci&oacute,n en 1940 de 400 alumnos. La Escuela de San Javier se englobaba en el Grupo de Escuelas de Levante, del que formaban parte las Escuelas Elementales de El Palmar y Alcantarilla, as&iacute, como el Aer&oacute,dromo de Los Alc&aacute,zares y diversos campos eventuales como el del Carmol&iacute,.</p><p>Al desarrollarse el Ej&eacute,rcito del Aire, fue necesario dotarlo de una academia general de oficiales, al igual que el Ej&eacute,rcito y la Armada. As&iacute, por Decreto de 28 de julio de 1943, se creaba la Academia General del Aire, siendo ministro del aire el general Juan Vig&oacute,n Suerod&iacute,az. Esta nueva Unidad ten&iacute,a como misi&oacute,n la de formar a los futuros oficiales profesionales del Ej&eacute,rcito del Aire en los aspectos militar, aeron&aacute,utico, cultural-human&iacute,stico y f&iacute,sico.</p><p>El 15 de septiembre de 1945, ingresa la primera promoci&oacute,n de la Academia General del Aire, siendo su primer director el coronel Antonio Munaiz de Brea. El 10 de diciembre del mismo a&ntilde,o recibi&oacute, su primer Estandarte nacional donado por el Ej&eacute,rcito del Aire y adquirido por suscripci&oacute,n entre todos los oficiales del mismo, conserv&aacute,ndose actualmente esta Ense&ntilde,a en el Museo del Aire de Cuatro Vientos.</p><p>La AGA convivi&oacute, con la Academia de Oficiales de Le&oacute,n hasta 1949, a partir de este momento hasta 1989 ser&aacute, la principal academia del Ej&eacute,rcito del Aire, siendo actualmente la &uacute,nica academia de formaci&oacute,n de oficiales del Aire.</p><p>La ense&ntilde,anza de vuelo ha sido el eje central de la formaci&oacute,n en San Javier, la cual se compone de dos fases, una inicial elemental, a la que sigue una fase de perfeccionamiento, que posteriormente se denominar&iacute,a de vuelo b&aacute,sico. La ense&ntilde,anza elemental tuvo en la avioneta Bucker Bu-131 su principal instrumento did&aacute,ctico entre septiembre de 1945 y marzo de 1976, a partir de febrero de 1958 se constituy&oacute, el Escuadr&oacute,n de Vuelo B&aacute,sico con los primeros aviones Beechcraft T-34 Mentor. Estos aviones formaban parte del material recibido gracias a los acuerdos de amistad con los Estados Unidos de Norteam&eacute,rica, con ellos se mejor&oacute, la ense&ntilde,anza de vuelo impartida en San Javier.</p><p>En la AGA tambi&eacute,n volaban aviones polimotores, con los que se realizaba la ense&ntilde,anza de materias como: navegaci&oacute,n, fotograf&iacute,a a&eacute,rea, pr&aacute,cticas de bombardeo y cursos de observador. Entre estos aviones cabe destacar el ubicuo Junkers Ju-52, los bombarderos Heinkel He-111 y tras los citados acuerdos con Estados Unidos el transporte polivalente DC-3.</p><p>Durante el curso acad&eacute,mico 1958-59 Su Majestad el Rey don Juan Carlos I, realiz&oacute, su plan de formaci&oacute,n militar en la AGA, formando parte de la und&eacute,cima promoci&oacute,n. Su Majestad el Rey realiz&oacute, su primer vuelo el 16 de septiembre de 1958 en la Bucker E.3B-174, tambi&eacute,n vol&oacute, la Mentor y el Junkers Ju-52, recibiendo el emblema de piloto militar en el acto celebrado el d&iacute,a 15 de julio de 1959.</p><p>En el curso 1962/63 se incorporaron a la AGA los aviones North-American T-6, traslad&aacute,ndose la Escuela de Vuelo B&aacute,sico de Salamanca a San Javier, este material permaneci&oacute, en la AGA hasta el curso 1981/82 en que fue sustituido por los Casa C-101.</p><p>La extinta Escuela de Vuelo B&aacute,sico de Matac&aacute,n se cre&oacute, en 1954, siendo el escal&oacute,n previo a la ense&ntilde,anza en reactores, desde 1963 la AGA asume esta funci&oacute,n, potenci&aacute,ndose el Escuadr&oacute,n de Vuelo B&aacute,sico con los citados T-6.</p><p>Durante el curso 1970/71 la AGA cumpli&oacute, sus Bodas de Plata, que se conmemoraron el 15 de julio de 1971 coincidiendo con la entrega de despachos. En el curso 1971/72, la AGA recuper&oacute, la formaci&oacute,n de los aspirantes a los Cuerpos del Ej&eacute,rcito del Aire, que hasta entonces se formaban en diversas escuelas. Tambi&eacute,n durante este curso se incorporaron a la AGA los aviones Hispano HA-200 Saeta, primeros reactores de fabricaci&oacute,n nacional y que permanecieron hasta la llegada del C-101.</p><p>A partir del curso 1976/77 para ingresar en la AGA hab&iacute,a que superar un curso en el Centro de Selecci&oacute,n de la Academia General del Aire (CSAGA) que se ubic&oacute, en Granada, para pasar posteriormente a Los Alc&aacute,zares a partir del curso 1980/81, sistema que finaliz&oacute, con la reforma de la ense&ntilde,anza militar de 1986.</p><p>El 27 de abril de 1980, presidido por Su Majestad el Rey, se celebraron los actos de bendici&oacute,n y entrega de la Bandera Nacional a la Academia General del Aire, siendo madrina de la misma Su Majestad la Reina do&ntilde,a Sof&iacute,a. Hay que destacar que la Academia General del Aire fue la primera unidad del Ej&eacute,rcito del Aire que tuvo derecho a ostentar bandera.</p><p>Su Alteza Real el Pr&iacute,ncipe don Felipe de Borb&oacute,n, integrado en la XLI Promoci&oacute,n, realiz&oacute, sus estudios en la AGA durante el curso 1987/88 recibiendo el despacho de teniente el d&iacute,a 10 de julio de 1989. Su Alteza Real realiz&oacute, su formaci&oacute,n aeron&aacute,utica en los aviones T-34 Mentor, C-101 y C-212 Aviocar.</p><p>En el curso acad&eacute,mico 1988/89 ingres&oacute, la primera mujer en la AGA, la cadete Mar&iacute,a Eva Lequerica de Ja&eacute,n, aspirante al Cuerpo de Farmacia. Desde entonces la proporci&oacute,n de mujeres alumnas ha tenido un crecimiento constante, superando en la actualidad el 10%.</p><p>La AGA celebr&oacute, sus bodas de oro durante el curso 1993/94, contando con las presencia de Sus Majestades los Reyes de Espa&ntilde,a, public&aacute,ndose con tal motivo el libro &#39,Academia General del Aire. Cr&oacute,nica de 50 a&ntilde,os&#39, obra de Rafael Mellado P&eacute,rez, funcionario de la AGA y cronista oficial de San Pedro del Pinatar.</p><p>Con el cambio de siglo la AGA aparece como la &uacute,nica academia de formaci&oacute,n de oficiales del Ej&eacute,rcito del Aire, estando plenamente capacitada para asumir los retos que plantean la evoluci&oacute,n tecnol&oacute,gica y los cambios estrat&eacute,gicos del panorama mundial.</p><p>El d&iacute,a 02 de marzo de 2004 se consigue el hito hist&oacute,rico que representa la superaci&oacute,n de las 176.124 horas de vuelo de la avioneta B&uuml,cker B&Uuml,-131 Jungmann por el Casa C-101 Aviojet en esta Academia que actualmente cuenta con m&aacute,s de 250.000 horas de vuelo.</p><p>En el curso 2006/2007 por primera vez una mujer alcanzaba la aptitud de caza y ataque: Rosa Mar&iacute,a Garc&iacute,a-Malea L&oacute,pez y al curso siguiente la alf&eacute,rez alumna Roc&iacute,o Gonz&aacute,lez Torres consigui&oacute, la m&aacute,xima nota en esta especialidad. Otro hito importante de la integraci&oacute,n de la mujer en la AGA, lo constituye el hecho de que durante el curso 2008/09 fue abanderada de la AGA Lourdes Losa Calvo, logrando ser la primera mujer en finalizar sus estudios como n&uacute,mero uno de su promoci&oacute,n en julio de 2010.</p><p>Hay que resaltar la celebraci&oacute,n del Festival A&eacute,reo Aire06 en junio de 2006, con motivo de las jornadas &quot,Murcia Nuestra Cuna&quot,, con una asistencia estimada a la exposici&oacute,n est&aacute,tica de 200.000 personas y al festival propiamente dicho de m&aacute,s de 500.000, contribuyendo a ello la participaci&oacute,n de las mejores formaciones a&eacute,reas, tanto nacionales como extranjeras. Fue considerado por la prensa extranjera como mejor festival a&eacute,reo del a&ntilde,o en Europa. Unos a&ntilde,os despu&eacute,s, en junio de 2010 se conmemor&oacute, el XXV aniversario de la Patrulla &Aacute,guila, realiz&aacute,ndose una jornada de puertas abiertas y un festival a&eacute,reo en el que participaron casi la totalidad de aviones del Ej&eacute,rcito del Aire, as&iacute, como la patrulla acrob&aacute,tica italiana &quot,Freche Tricolori&quot, que tambi&eacute,n conmemoraba su 50 aniversario, eventos que contaron con la presencia de numeroso p&uacute,blico y notable repercusi&oacute,n medi&aacute,tica.</p><p>La Ley 39/2007 de la Carrera Militar, introduce un nuevo modelo de ense&ntilde,anza militar. Como consecuencia, se crea el Centro Universitario de la Defensa (CUD) de San Javier, basado en el convenio de adscripci&oacute,n entre el Ministerio de Defensa y la Universidad Polit&eacute,cnica de Cartagena que permite proporcionar una titulaci&oacute,n de Grado a los alumnos de la AGA como ingenieros de Organizaci&oacute,n Industrial, adem&aacute,s de las ense&ntilde,anzas propias militares y aeron&aacute,uticas tradicionales a todos los alumnos de la AGA.</p><p>El d&iacute,a 25 de enero de 2008 se consigue el hito hist&oacute,rico que representa la superaci&oacute,n de las 200.000 horas de vuelo del avi&oacute,n Casa C-101 (E.25), cantidad a la que s&oacute,lo se aproximan las 176.124 horas 58 minutos de la avioneta B&uuml,cker B&Uuml,-131 Jungmann.</p><p>El 29 de septiembre de 2010 tuvo lugar la ceremonia de inauguraci&oacute,n oficial del primer curso acad&eacute,mico conforme al nuevo modelo de ense&ntilde,anza. Esta reforma es la m&aacute,s importante que ha tenido la educaci&oacute,n militar y por tanto tambi&eacute,n la AGA en sus 66 a&ntilde,os de actividad, pues no s&oacute,lo a&ntilde,ade planes de estudio de Grado, sino tambi&eacute,n la propia dimensi&oacute,n del centro, incluyendo ahora el Centro Universitario de la Defensa de San Javier.</p><p>Desde su creaci&oacute,n, m&aacute,s de 6.500 alumnos han pasado por este centro docente militar de formaci&oacute,n de Cuadros de Mando.</p></div>;;;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/monumentos/recurso-1-8748-1p_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/monumentos/recurso-1-8748-2p_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/monumentos/recurso-1-8748-3p_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/monumentos/recurso-1-8748-7p_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/monumentos/recurso-1-8748-5p_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/monumentos/recurso-1-8748-6p_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/monumentos/recurso-1-8748-4p_g.jpg;;;;;;;;;;;;;
8713;Acantilados de Cabo de Palos;;30780;Cartagena;CABO DE PALOS;;;;;;-0.690000;37.632713;<p>Cabo de Palos es una pen&iacute,nsula de unos 600 metros de longitud de origen volc&aacute,nico,orientada de este a oeste, que forma la parte m&aacute,s occidental del sistema B&eacute,tico que aqu&iacute, se hunde en el mar, dando lugar a los bajos marinos y las islas pr&oacute,ximas. La costa baja y arenosa, en su tramo de La Manga, se vuelve abrupta y rocosa al doblar el cabo, abri&eacute,ndose en peque&ntilde,as calas, oquedades y recovecos creados por la erosi&oacute,n, albergando ricos h&aacute,bitats de flora y fauna.</p><p>Conectando el puerto de Cabo de Palos con su faro, encontramos un paseo muy especial que recorre los acantilados del pueblo y cada una de sus maravillosas calas. Peque&ntilde,as escalerillas facilitan el acceso a cada una de ellas, aut&eacute,nticos paraisos del buceo y el snorkel. No se recomienda salirse del recorrido sen&ntilde,alizado. Los acantilados y las calas de Cabo de Palos son realmente alucinantes.</p>;;;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/monumentos/recurso-1-8713-1p_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/monumentos/recurso-1-8713-2p_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/monumentos/recurso-1-8713-6p_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/monumentos/recurso-1-8713-4p_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/monumentos/recurso-1-8713-5p_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/monumentos/recurso-1-8713-3p_g.jpg;;;;;;;;;;;;;;
8948;Aeródromo;Avda de la Libertad, 37;30710;Los Alcázares;LOS ALCÁZARES;968 582 107;;cultura@losalcazares.es;www.losalcazares.es;;4178839;689155;;;;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-8948-1p_g.jpg;;;;;;;;;;;;;;;;;;;
6883;Aeródromo;Avda de la Libertad, 37;30710;Los Alcázares;LOS ALCÁZARES;968 582 107;;cultura@losalcazares.es;www.losalcazares.es;;4178839;689155;;;;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-6883-1p_g.JPG;;;;;;;;;;;;;;;;;;;
8801;Aljibe del Estacio;Km. 14 Gran Vía de La Manga;30370;La Manga;LA MANGA San Javier;;;;;;-0.726105;37.745614;<p>Como en todas las regiones &aacute,ridas, desde la prehistoria, el hombre ha ingeniado m&eacute,todos para aprovechar los escasos recursos h&iacute,dricos de los que dispon&iacute,a, bien almacenando las aguas de lluvia o extray&eacute,ndolas del subsuelo mediante pozos. As&iacute,, en las comarcas del Campo de Cartagena y del Mar Menor, la presencia de estos sistemas, generalmente para consumo familiar, est&aacute, muy extendida en las zonas rurales, junto a las viviendas o diseminados en los n&uacute,cleos de poblaci&oacute,n cercanos a las playas. Incluso los faros dispon&iacute,an de sus propios aljibes, como en el caso del Estacio.</p><p>Introducidos por los romanos, ser&iacute,an los &aacute,rabes los que extendieron su uso. De hecho, la palabra aljibe deriva del vocablo &aacute,rabe &ldquo,Al Yibab&rdquo,.</p><p>&nbsp,</p><p>Son dep&oacute,sitos subterr&aacute,neos generalmente de forma cil&iacute,ndrica, impermeabilizados con una capa de mortero. En el exterior se instalaba un brocal, rematado por un garita o capilla, con puerta y tejadillo de forma apiramidada. Dentro de la garita se colocaba la carrucha de madera de la que colgaba una cuerda con un cubo o balde.</p><p>&nbsp,</p><p>El Aljibe del Estacio, construido para el suministro de las familias y animales dom&eacute,sticos de los dos torreros que llevaban el servicio del faro, se construy&oacute, siguiendo el modelo de b&oacute,veda cil&iacute,ndrica y garita exterior, muy com&uacute,n en el Campo de Cartagena.</p><p>El sistema de almacenamiento comenzaba en una poza, que recog&iacute,a el agua de la lluvia, donde era decantada durante cierto tiempo para eliminar impurezas. El agua llegaba canalizada desde la poza y pasaba al aljibe a trav&eacute,s de una rejilla.</p>;Arquitectura Civil;;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/monumentos/recurso-1-8801-1p_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/monumentos/recurso-1-8801-3p_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/monumentos/recurso-1-8801-2p_g.jpg;;;;;;;;;;;;;;;;;
5035;Antigua entrada de abastecimiento de agua de Las Salinas;Playa de la Pava (entrada por calle Ecuador);30860;Mazarrón;PUERTO DE MAZARRÓN;968 59 44 26;968 15 31 21;turismo@mazarron.es;http://www.visitamazarron.com/es/que-hacer/cultura-y-patrimonio/monumentos-civiles/entrada-de-abastecimiento-de-agua-de-las-salinas/;www.visitamazarron.com;-1.281220;37.558967;<p>En el Puerto de Mazarr&oacute,n existe una antigua tradici&oacute,n salinera que cristaliz&oacute, ya en el siglo XX en una gran explotaci&oacute,n industrial. Por las caracter&iacute,sticas geol&oacute,gicas y topogr&aacute,ficas de la zona su explotaci&oacute,n pudo ser iniciada en &eacute,poca romana.</p><p>La sal marina se obtiene por la evaporaci&oacute,n del agua del mar. Para ello, se deja evaporar el agua en estanques de poco fondo, generalmente separados por muretes de tierra o piedra. El ciclo anual del trabajo presentaba distintas labores estacionales. La salina se reconstru&iacute,a y quedaba constituida en primavera, para la cosecha estival. En oto&ntilde,o, la salina se abr&iacute,a para desaguarla, lo que da&ntilde,aba los diques y muros de separaci&oacute,n, que deb&iacute,an repararse en primavera.</p><p>La entrada de abastecimiento de agua es uno de los pocos vestigios que permanecen de esa importante actividad econ&oacute,mica del Puerto de Mazarr&oacute,n.</p><p>La entrada del agua a trav&eacute,s del canal estar&iacute,a asociada a una maquinaria de bombeo cuyas caracter&iacute,sticas sonoras hicieron que en la &eacute,poca, esta estructura fuera conocida popularmente con el apelativo del &ldquo,PIM-PAM&rdquo,.</p>;Otros;;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/monumentos/recurso-1-5035-1_g.jpg;;;;;;;;;;;;;;;;;;;
7215;Archena - Oficina Municipal de Turismo;Avenida Río Segura, 10 - Museo de Archena;30600;Archena;ARCHENA;626 241 884;;museo.archena@gmail.com;www.archena.es;;4220446;649273;;;;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/oficinas-turismo/recurso-1-7215-1p_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/oficinas-turismo/recurso-1-7215-2p_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/oficinas-turismo/recurso-1-7215-5p_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/oficinas-turismo/recurso-1-7215-4p_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/oficinas-turismo/recurso-1-7215-3p_g.jpg;;;;;;;;;;;;;;;
8322;Arco de los Reyes Católicos - Hornacina de San Blas ;C/ Iglesia, nº 16;30510;Yecla;;968 75 41 04;;turismo@yecla.es ;https://turismo.yecla.es/;;;38.6110943;<p>Arco que tradicionalmente se ha considerado conmemorativo del paso de los Reyes Cat&oacute,licos por la Villa de Yecla el cuatro de agosto de 1488. En realidad se trata de un elemento constructivo que ven&iacute,a a diferenciar dos &aacute,mbitos urbanos distintos: la juder&iacute,a y el barrio cristiano. Junto al Arco se ubica una hornacina de estilo neog&oacute,tico que podr&iacute,amos fechar a fines del siglo XIX y principios del siglo XX. Su interior contiene una imagen de San Blas, cuya devoci&oacute,n en Yecla se remonta a finales del siglo XVI.</p>;Arquitectura Popular;;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/monumentos/recurso-1-8322-1p_g.png;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/monumentos/recurso-1-8322-2p_g.png;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/monumentos/recurso-1-8322-3p_g.jpg;;;;;;;;;;;;;;;;;
6069;Área recreativa Fuente de la Portuguesa;Sierra Espuña;30170;Mula;MULA;968661501;;turismo@aytomula.es;;;;;;Otros;;;;;;;;;;;;;;;;;;;;;
5007;Arrecifes Coralinos;El Rellano;30627;Molina de Segura;RELLANO;;;;;;-1.2165642;38.2102814;<p>Los arrecifes del Rellano constituyen un excepcional complejo arrecifal de unas cinco bioconstrucciones coralinas de hace unos 8-7 millones de a&ntilde,os, que se desarrollaron sobre las zonas marginales de un antiguo abanico deltaico, que ocupaba las proximidades de la Sierra de Lugar, que en esa &eacute,poca constitu&iacute,a una isla. El ascenso del nivel del mar en esta &eacute,poca gener&oacute, que los arrecifes se fuesen desplazando hacia noroeste (hacia tierra firme), por lo que los que est&aacute,n situados m&aacute,s al norte y a cotas m&aacute,s altas son los m&aacute,s modernos. El segundo arrecife se localiza a la salida del Rellano en direcci&oacute,n a la Estaci&oacute,n de Blanca, a la izquierda de la carretera culminando el cerro del Ap&oacute,stol (Alto del Rellano), situ&aacute,ndose sobre una barra arenoso-conglomer&aacute,tica del frente del delta. Este arrecife conserva &iacute,ntegramente su morfolog&iacute,a. El tercer arrecife, se localiza a la izquierda de la carretera, que lo corta mostrando una estructura interna formada por colonias ramificadas y globulares de corales del g&eacute,nero Tarbellastraea, que hacia el sur son sustituidas por corales del g&eacute,nero Porites. Entre estas colonias se pueden localizar otros corales meandroides, restos de algas rojas y moluscos marinos (Chlamys sp., Conus sp., etc.). El arrecife ha sido afectado por la tect&oacute,nica estando m&aacute,s o menos fracturado y afectado por fallas de salto en direcci&oacute,n. Este talud de la carretera es uno de los mejores ejemplos de la estructura interna del n&uacute,cleo de un arrecife mioceno seg&uacute,n el Dr. Carlos Santisteban de la Universidad de Valencia, quien los describe minuciosamente en su tesis doctoral y en otras publicaciones cient&iacute,ficas. El cuarto arrecife se localiza ladera arriba del anterior en la mitad de la ladera. En superficie est&aacute, karstificado y resulta relativamente dif&iacute,cil su observaci&oacute,n. El quinto arrecife culmina el cerro. En &eacute,l se pueden observar numerosas colonias globosas de Tarbellastraea sp., aunque estas est&aacute,n muy karstificadas y no siempre es posible observar los pol&iacute,peros. La existencia de estos arrecifes nos informa que hace unos 8-7 millones de a&ntilde,os (durante el Tortoniense superior) el paraje del Rellano era un medio marino somero, cercano a algunas islas (sierra de Lugar) y al continente emergido (sierras del &Aacute,guila, la Pila, etc.). Este mar, en la zona de los arrecifes, tendr&iacute,a poca profundidad, y en el desembocaba un curso fluvial que aportaba sedimentos originando un peque&ntilde,o delta, que durante varias etapas permaneci&oacute, inactivo, lo que facilit&oacute, la instalaci&oacute,n de los arrecifes sobre &eacute,l, existiendo un clima tropical con una temperatura media anual de unos 22&ordm, C, ya que estas son las necesidades actuales de estos corales (Porites sp.) que todav&iacute,a persisten en los mares tropicales de nuestro planeta</p>;Otros;;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/monumentos/LUGI_412014_779211_0_g.jpg;;;;;;;;;;;;;;;;;;;
